co_id,year_quarter,account_code,account_name_cn,period_q_current,yoy_pct
1103,2025Q1,8300,其他綜合損益（淨額）,212662.0,
1103,2025Q1,8310,不重分類至損益之項目總額,108245.0,
1103,2025Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,132276.0,
1103,2025Q1,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-24031.0,
1103,2025Q1,8360,後續可能重分類至損益之項目總額,104417.0,
1103,2025Q1,8361,國外營運機構財務報表換算之兌換差額,144458.0,
1103,2025Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,734.0,
1103,2025Q1,8399,與可能重分類之項目相關之所得稅,40775.0,
1103,2025Q1,8500,本期綜合損益總額,297809.0,
1103,2025Q1,8610,母公司業主（淨利／損）,83170.0,
1103,2025Q1,8620,非控制權益（淨利／損）,1977.0,
1103,2025Q1,8710,母公司業主（綜合損益）,289291.0,
1103,2025Q1,8720,非控制權益（綜合損益）,8518.0,
1103,2025Q1,9710,繼續營業單位淨利（淨損）,0.13,
1103,2025Q1,9750,基本每股盈餘合計,0.13,
1103,2025Q1,9810,繼續營業單位淨利（淨損）,0.13,
1103,2025Q1,9850,稀釋每股盈餘合計,0.13,
1103,2026Q1,4000,營業收入合計,688370.0,-8.52
1103,2026Q1,5000,營業成本合計,542788.0,-14.08
1103,2026Q1,5900,營業毛利（毛損）,145582.0,20.55
1103,2026Q1,5950,營業毛利（毛損）淨額,145582.0,20.55
1103,2026Q1,6000,營業費用合計,129790.0,0.68
1103,2026Q1,6100,推銷費用,11465.0,-1.4
1103,2026Q1,6200,管理費用,118939.0,0.97
1103,2026Q1,6450,預期信用減損損失（利益）,-614.0,-20.87
1103,2026Q1,6900,營業利益（損失）,15792.0,293.58
1103,2026Q1,7000,營業外收入及支出合計,52601.0,-49.05
1103,2026Q1,7010,其他收入合計,11425.0,-36.1
1103,2026Q1,7020,其他利益及損失淨額,4455.0,-91.82
1103,2026Q1,7050,財務成本淨額,58484.0,4.5
1103,2026Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,57405.0,26.73
1103,2026Q1,7100,利息收入合計,37800.0,-9.11
1103,2026Q1,7900,繼續營業單位稅前淨利（淨損）,68393.0,-28.07
1103,2026Q1,7950,所得稅費用（利益）合計,17068.0,71.74
1103,2026Q1,8000,繼續營業單位本期淨利（淨損）,51325.0,-39.72
1103,2026Q1,8200,本期淨利（淨損）,51325.0,-39.72
1103,2026Q1,8300,其他綜合損益（淨額）,-35675.0,-116.78
1103,2026Q1,8310,不重分類至損益之項目總額,-90199.0,-183.33
1103,2026Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-62257.0,-147.07
1103,2026Q1,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,-27942.0,-16.27
1103,2026Q1,8360,後續可能重分類至損益之項目總額,54524.0,-47.78
1103,2026Q1,8361,國外營運機構財務報表換算之兌換差額,71462.0,-50.53
1103,2026Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,673.0,-8.31
1103,2026Q1,8399,與可能重分類之項目相關之所得稅,17611.0,-56.81
1103,2026Q1,8500,本期綜合損益總額,15650.0,-94.74
1103,2026Q1,8610,母公司業主（淨利／損）,51804.0,-37.71
1103,2026Q1,8620,非控制權益（淨利／損）,-479.0,-124.23
1103,2026Q1,8710,母公司業主（綜合損益）,17445.0,-93.97
1103,2026Q1,8720,非控制權益（綜合損益）,-1795.0,-121.07
1103,2026Q1,9710,繼續營業單位淨利（淨損）,0.08,-38.46
1103,2026Q1,9750,基本每股盈餘合計,0.08,-38.46
1103,2026Q1,9810,繼續營業單位淨利（淨損）,0.08,-38.46
1103,2026Q1,9850,稀釋每股盈餘合計,0.08,-38.46
1103,2026Q2,4000,營業收入合計,667343.0,
1103,2026Q2,5000,營業成本合計,531654.0,
