market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TPEx,2026-03-24,16,3529,力旺,3577520000.0,1382000.0,2535.0,-65.0,1205.0
TPEx,2026-03-24,17,6547,高端疫苗,3284776000.0,56208000.0,57.5,3.0,22963.0
TPEx,2026-03-24,18,3131,弘塑,3283575000.0,1330000.0,2420.0,-15.0,1207.0
TPEx,2026-03-24,19,8358,金居,3062894500.0,13814000.0,221.5,-1.0,9530.0
TPEx,2026-03-24,20,6530,創威,3025745400.0,31457000.0,90.5,-7.0,20387.0
TWSE,2026-03-24,1,2330,台積電,55773861470.0,30569936.0,1810.0,0.0,125816.0
TWSE,2026-03-24,2,2408,南亞科,32051988722.0,149698558.0,216.5,6.5,106374.0
TWSE,2026-03-24,3,6770,力積電,24062444165.0,369690172.0,62.7,6.4,190714.0
TWSE,2026-03-24,4,2344,華邦電,23043426996.0,226815033.0,99.5,8.0,142018.0
TWSE,2026-03-24,5,2308,台達電,19017014880.0,13206637.0,1415.0,5.0,21962.0
TWSE,2026-03-24,6,2313,華通,17099996494.0,79278505.0,209.5,6.5,62435.0
TWSE,2026-03-24,7,8046,南電,15917311783.0,30733149.0,491.0,43.0,38785.0
TWSE,2026-03-24,8,3017,奇鋐,13285093275.0,6721340.0,1945.0,50.0,16040.0
TWSE,2026-03-24,9,2368,金像電,11804977347.0,12664717.0,888.0,74.0,32380.0
TWSE,2026-03-24,10,2317,鴻海,11063942210.0,56280296.0,195.0,1.0,62593.0
TWSE,2026-03-24,11,2383,台光電,10964759150.0,3977982.0,2685.0,110.0,14793.0
TWSE,2026-03-24,12,3481,群創,9763513848.0,388539761.0,24.5,0.5,123350.0
TWSE,2026-03-24,13,2454,聯發科,9388850365.0,5766587.0,1620.0,5.0,20843.0
TWSE,2026-03-24,14,2455,全新,9095482353.0,38466670.0,242.5,21.0,30396.0
TWSE,2026-03-24,15,2367,燿華,8858802548.0,125055729.0,68.3,3.0,70962.0
TWSE,2026-03-24,16,4967,十銓,8791765889.0,34346504.0,251.0,5.0,26737.0
TWSE,2026-03-24,17,3653,健策,8451073910.0,2080424.0,3950.0,100.0,7420.0
TWSE,2026-03-24,18,7769,鴻勁,7982463935.0,2107807.0,3720.0,230.0,15295.0
TWSE,2026-03-24,19,6442,光聖,7353133210.0,3749691.0,1935.0,85.0,14113.0
TWSE,2026-03-24,20,6139,亞翔,7254710331.0,11563900.0,632.0,34.0,17843.0
TPEx,2026-03-25,1,6274,台燿,8758898000.0,15246000.0,580.0,39.0,11582.0
TPEx,2026-03-25,2,1815,富喬,8636147500.0,81143000.0,108.0,9.2,36248.0
TPEx,2026-03-25,3,8299,群聯,7852385000.0,4525000.0,1725.0,40.0,3809.0
TPEx,2026-03-25,4,6187,萬潤,7494259000.0,7985000.0,955.0,86.0,5121.0
TPEx,2026-03-25,5,4979,華星光,6332640000.0,14997000.0,425.5,38.5,9872.0
TPEx,2026-03-25,6,8358,金居,5884186500.0,25528000.0,227.0,5.5,16209.0
TPEx,2026-03-25,7,3211,順達,5739595000.0,16643000.0,347.5,31.5,8424.0
TPEx,2026-03-25,8,6223,旺矽,5716470000.0,1517000.0,3750.0,80.0,1400.0
TPEx,2026-03-25,9,3324,雙鴻,4537055000.0,4339000.0,1035.0,30.0,3589.0
TPEx,2026-03-25,10,5274,信驊,3462765000.0,298000.0,11500.0,590.0,287.0
TPEx,2026-03-25,11,5536,聖暉*,3330223000.0,4149000.0,800.0,50.0,3208.0
TPEx,2026-03-25,12,3260,威剛,3186078500.0,8011000.0,405.0,18.5,5770.0
TPEx,2026-03-25,13,6510,精測,2736810000.0,860000.0,3195.0,-5.0,825.0
TPEx,2026-03-25,14,6788,華景電,2696432000.0,6815000.0,401.0,23.5,5445.0
TPEx,2026-03-25,15,1785,光洋科,2327478900.0,24906000.0,91.8,2.3,12905.0
TPEx,2026-03-25,16,4931,新盛力,2233194000.0,14482000.0,153.5,10.0,9724.0
TPEx,2026-03-25,17,3587,閎康,2193283000.0,8819000.0,251.5,11.5,6769.0
TPEx,2026-03-25,18,5347,世界,2122144500.0,17273000.0,124.0,11.0,7356.0
TPEx,2026-03-25,19,8096,擎亞,2045175300.0,23545000.0,89.0,3.3,13596.0
TPEx,2026-03-25,20,4749,新應材,1925711000.0,2153000.0,896.0,33.0,1927.0
TWSE,2026-03-25,1,2330,台積電,86692213662.0,46664345.0,1845.0,35.0,92102.0
TWSE,2026-03-25,2,2308,台達電,25526265325.0,16571563.0,1550.0,135.0,40368.0
TWSE,2026-03-25,3,2408,南亞科,21887158782.0,97313083.0,226.5,10.0,69050.0
TWSE,2026-03-25,4,2344,華邦電,20370287738.0,204010523.0,98.2,1.3,122936.0
TWSE,2026-03-25,5,6770,力積電,17913554201.0,278832681.0,65.0,2.3,135508.0
TWSE,2026-03-25,6,2313,華通,13707101436.0,60400816.0,230.0,20.5,51984.0
TWSE,2026-03-25,7,3017,奇鋐,11561071315.0,5596612.0,2100.0,155.0,15086.0
TWSE,2026-03-25,8,2345,智邦,11429706845.0,6912402.0,1685.0,150.0,11830.0
TWSE,2026-03-25,9,2454,聯發科,10068539055.0,6144537.0,1620.0,0.0,18690.0
TWSE,2026-03-25,10,2383,台光電,9524535195.0,3332111.0,2845.0,160.0,9784.0
TWSE,2026-03-25,11,2317,鴻海,8590139879.0,43133240.0,200.0,5.0,39973.0
TWSE,2026-03-25,12,2367,燿華,8246013663.0,111876694.0,75.1,6.8,62222.0
TWSE,2026-03-25,13,2368,金像電,8052826293.0,8660995.0,922.0,34.0,14637.0
TWSE,2026-03-25,14,3665,貿聯-KY,7704159940.0,4309048.0,1805.0,75.0,8036.0
TWSE,2026-03-25,15,3443,創意,7535918695.0,2976338.0,2475.0,30.0,8127.0
TWSE,2026-03-25,16,0050,元大台灣50,7201277589.0,94344080.0,76.2,1.8,66655.0
TWSE,2026-03-25,17,3481,群創,7056580978.0,274222757.0,25.65,1.15,84785.0
TWSE,2026-03-25,18,3715,定穎投控,6620471601.0,37016043.0,183.0,16.5,26813.0
TWSE,2026-03-25,19,3533,嘉澤,6263837350.0,2971773.0,2150.0,195.0,7596.0
